AWB Number,Amount
35604310071680,1266
35604310078816,1059
35604310073065,1670
35604310070070,510
35604310072041,993
35604310070210,1299
35604310071573,1419
35604310071890,1441
35604310071783,1654
35604310070195,939
35604310068471,969
35604310070696,1929
35604310072295,2948
35604310072881,2169
35604310069716,960
35604310070954,1311
35604310071982,1778
35604310072236,51
35604310072391,1692
35604310072870,969
35604310076646,1435
35604310072251,939
35604310073032,1918
35604310067793,2045
35604310070125,1299
35604310073312,2335
35604310078186,1105
35604310071492,1351
35604310078923,1749
35604310071411,879
35604310071330,1465
35604310071875,3147
35604310073113,881
35604310072892,969
35604310072166,993
35604310075541,1692
35604310070814,1467
35604310076230,3453
35604310078400,881
35604310075714,2617
35604310075600,1475
35604310075666,657
35604310073124,1217
35604310073102,1581
35604310078890,881
35604310075876,2303
35604310071886,1269
35604310070836,1568
35604310076952,790
35604310076613,1166
35604310075736,1441
35604310073054,2029
35604310072520,2838
35604310071993,1059
35604310075530,939
35604310073216,788
35604310073194,3227
35604310077302,806
35604310071853,1961
35604310076042,881
35604310073253,812
35604310077265,1189
35604310076495,2253
