AWB Number,Amount,
DKTGO-2141769943,459,
DKTGO-3441759188,515.85,
DKTGO-3993793877,1045,
DKTGO-2490049126,515.85,
DKTGO-8985219101,658.35,
DKTGO-7234298437,533.9,
DKTGO-8809037626,459,
DKTGO-4052156506,515.85,
DKTGO-0509299061,533.9,
DKTGO-0909482062,489.25,
DKTGO-6663613578,478,
DKTGO-6469648659,744,
DKTGO-1240618381,601.35,
DKTGO-8983704000,515.85,
DKTGO-2802855427,478,
DKTGO-9827535744,515.85,
DKTGO-6949659627,421,
DKTGO-6099435691,515.85,
DKTGO-4604330024,1148,
DKTGO-9373487296,464,
DKTGO-4993003321,478,
DKTGO-7339530169,478,
DKTGO-9861191398,515.85,
DKTGO-7994872800,421,
DKTGO-8932912835,515.85,
DKTGO-8111244331,515.85,
DKTGO-2793850727,500,
DKTGO-4970575172,1031,
DKTGO-1358869727,515,
DKTGO-7515493064,515.85,
DKTGO-3963015123,468,
DKTGO-8399122723,446,
DKTGO-7982003517,515.85,
DKTGO-6644419205,478,
DKTGO-1102723307,421,
DKTGO-3616661729,464,
DKTGO-2024339300,478,
DKTGO-4152963375,459,
DKTGO-7578188199,421,
DKTGO-4894479391,543,
DKTGO-4896431772,421,
DKTGO-0044979860,956,
DKTGO-4070144154,978.5,
DKTGO-1464745748,515.85,
DKTGO-4017887699,515.85,
DKTGO-9146437797,533.9,
DKTGO-9478925353,908.2,
DKTGO-1560139064,464,
DKTGO-8742052877,934.8,
DKTGO-3355944106,457,
DKTGO-5103841850,969.95,
DKTGO-4754615093,489.25,
DKTGO-3185436782,543,
DKTGO-3624632834,478,
DKTGO-9614889353,444,
DKTGO-7537934943,931,
DKTGO-7002000763,515.85,
