"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Amazon 5 kg",363196768629,Delivered,"Digitrove LLP",43141,202509031124575,PREPAID,302004,JAIPUR,5,252.84,0,0,0,0,252.84,45.51,0,0,298.35,1400,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Amazon 5 kg",363218667695,Delivered,"Digitrove LLP",43376,202509041118082,PREPAID,700125,KOLKATA,5,252.84,0,0,0,0,252.84,45.51,0,0,298.35,1400,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 5 Kg - DKT",35655310002155,Rto,"Digitrove LLP",42005,202508250739223,PREPAID,734004,SILIGURI,5,0,208.74,0,0,0,208.74,37.57,0,0,246.31,1400,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 10 Kg - DKT",35649410000803,Delivered,"Digitrove LLP",43511,202509050219232,PREPAID,560034,BANGALORE,10,452.76,0,0,0,0,452.76,81.5,0,0,534.26,2500,GURGAON,GURGAON,122017,,Apple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 10 Kg - DKT",35649410000814,Delivered,"Digitrove LLP",43512,202509050239318,PREPAID,560097,BANGALORE,10,452.76,0,0,0,0,452.76,81.5,0,0,534.26,2500,GURGAON,GURGAON,122017,,Apple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310295831,Delivered,"Digitrove LLP",43943,202509061059411,PREPAID,600116,CHENNAI,0.5,54.39,0,0,0,0,54.39,9.79,0,0,64.18,229,SOLAN,"Himachal Pradesh",173211,,"Hard Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 5 Kg - DKT",35655310002170,Delivered,"Digitrove LLP",44467,202509101118447,PREPAID,500081,HYDERABAD,9,408.67,0,0,0,0,408.67,73.56,0,0,482.23,2800,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 5 Kg - DKT",35655310002181,Delivered,"Digitrove LLP",44801,202509121235476,PREPAID,333031,PILANI,5,232.26,0,0,0,0,232.26,41.81,0,0,274.07,1400,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 5 Kg - DKT",35655310002192,Delivered,"Digitrove LLP",44802,202509120744401,PREPAID,734004,SILIGURI,5,232.26,0,0,0,0,232.26,41.81,0,0,274.07,1400,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 5 Kg - DKT",153700650000225,Delivered,"Digitrove LLP",45048,202509150230527,PREPAID,110033,"NEW DELHI",5,213.15,0,0,0,0,213.15,38.37,0,0,251.52,1500,SOLAN,"Himachal Pradesh",173211,,"Aspen Chips",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
