"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Delhivery 5 Kg - DKT",35655310000755,Delivered,"Digitrove LLP",15134,202504021051172,PREPAID,400064,MUMBAI,5,194.34,0,0,0,0,194.34,0,17.49,17.49,229.32,1400,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310092120,Delivered,"Digitrove LLP",15135,202504031055219,PREPAID,700034,KOLKATA,0.5,45.51,0,0,0,0,45.51,0,4.1,4.1,53.7,499,SOLAN,"Himachal Pradesh",173211,,"Soft Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310100800,Delivered,"Digitrove LLP",16082,202504060711084,PREPAID,400018,MUMBAI,0.5,45.51,0,0,0,0,45.51,0,4.1,4.1,53.7,458,SOLAN,"Himachal Pradesh",173211,,"Hard Wood Chew",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310100811,Delivered,"Digitrove LLP",16083,202504060719275,PREPAID,688009,ALLAPUZHA,0.5,45.51,0,0,0,0,45.51,0,4.1,4.1,53.7,229,SOLAN,"Himachal Pradesh",173211,,"Hard Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 5 Kg - DKT",35655310000803,Delivered,"Digitrove LLP",16084,202504060727177,PREPAID,313001,UDAIPUR,5,194.34,0,0,0,0,194.34,0,17.49,17.49,229.32,1500,SOLAN,"Himachal Pradesh",173211,,"Aspen Chips",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 10 Kg - DKT",35649410000044,Delivered,"Digitrove LLP",16085,202504060739047,PREPAID,201304,NOIDA,14,516.6,0,0,0,0,516.6,0,46.49,46.49,609.59,3900,SOLAN,"Himachal Pradesh",173211,,"Aspen Shavings",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 10 Kg - DKT",35649410000055,Delivered,"Digitrove LLP",16086,202504060751067,PREPAID,400050,MUMBAI,10,378.84,0,0,0,0,378.84,0,34.1,34.1,447.03,3000,SOLAN,"Himachal Pradesh",173211,,"Aspen Chips",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310107645,Delivered,"Digitrove LLP",16838,202504100638492,PREPAID,411034,PUNE,0.5,45.51,0,0,0,0,45.51,0,4.1,4.1,53.7,229,SOLAN,"Himachal Pradesh",173211,,"Hard Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310111296,Delivered,"Digitrove LLP",17237,202504141101439,PREPAID,560067,BANGALORE,0.5,45.51,0,0,0,0,45.51,0,4.1,4.1,53.7,499,SOLAN,"Himachal Pradesh",173211,,"Soft Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310112685,Delivered,"Digitrove LLP",17395,202504151056361,PREPAID,160022,CHANDIGARH,0.5,49,0,0,0,0,49,0,4.41,4.41,57.82,499,SOLAN,"Himachal Pradesh",173211,,"Soft Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310114446,Delivered,"Digitrove LLP",17591,202504160718164,PREPAID,411060,PUNE,0.5,49,0,0,0,0,49,0,4.41,4.41,57.82,229,SOLAN,"Himachal Pradesh",173211,,"Hard Wood Chew",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
