"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Delhivery 500 gms - DKT",35604310271703,Delivered,Demo,41154,1755687938,PREPAID,122001,GURGAON,0.5,33.81,0,0,0,0,33.81,0,3.04,3.04,39.9,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272112,Delivered,Demo,41196,1755691728,PREPAID,175023,mandi,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272134,Delivered,Demo,41198,1755692337,PREPAID,307801,Sirohi,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272145,Delivered,Demo,41200,1755692853,PREPAID,824101,Aurangabad,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272156,Delivered,Demo,41201,d46,PREPAID,152024,Fazilka,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272160,Delivered,Demo,41202,d47,PREPAID,243006,Bareilly,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272171,Delivered,Demo,41203,d48,PREPAID,212601,fatehpur,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272182,Delivered,Demo,41204,d49,PREPAID,400068,"Dahisar ( East), Mumbai",0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,panchtatva,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272580,Delivered,Demo,41244,402-9876811-1822742,PREPAID,846009,Darbhanga,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,220,GURGAON,Haryana,122103,,"mutual fund hindi",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272635,Delivered,Demo,41249,408-3271810-4689169,PREPAID,263153,"UDHAM SINGH NAGAR",0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,349,GURGAON,Haryana,122103,,sip,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310272720,"Out For Delivery",Demo,41258,402-0241185-5842726,PREPAID,682030,KOCHI,0.5,54.39,0,0,0,0,54.39,0,4.9,4.9,64.18,499,GURGAON,Haryana,122103,,"legal aids",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
