"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Blue Dart 500 gms",78021473784,Rto,"ARORA ENTERPRISE",47379,#4408,COD,600029,Chennai,0.5,0,60.58,0,0,-45.16,15.42,0,1.39,1.39,18.2,1098,"NEW DELHI",Delhi,110077,ER00235M,er235medium,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78015178426,Rto,"ARORA ENTERPRISE",46219,#4364,COD,400058,Mumbai,0.5,0,60.58,0,0,-45.16,15.42,0,1.39,1.39,18.2,990,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78020069514,Rto,"ARORA ENTERPRISE",47133,#4397,COD,636008,Salem,0.5,0,63.36,0,0,-45.16,18.19,0,1.64,1.64,21.47,1538,"NEW DELHI",Delhi,110077,ER000220,er220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78030372556,Rto,"ARORA ENTERPRISE",49537,#4484,COD,226001,LUCKNOW,0.5,66,63.36,0,0,0,129.36,0,11.64,11.64,152.64,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310342716,Rto,"ARORA ENTERPRISE",49540,#4483,COD,734014,Bagdogra,0.5,54.39,44.1,0,0,0,98.49,0,8.86,8.86,116.22,2697,"NEW DELHI",Delhi,110077,ER000213,er213,1,ER000237,er237,1,ER000215,er215,1,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76621252831,Delivered,"ARORA ENTERPRISE",49542,#4481,PREPAID,570007,Mysore,0.5,66,0,0,0,0,66,0,5.94,5.94,77.88,1888,"NEW DELHI",Delhi,110077,ER000226,er226,1,PE000016,pe016,1,ER000037,er037,1,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310342742,Rto,"ARORA ENTERPRISE",49544,#4480,COD,443201,Chikhali,0.5,54.39,44.1,0,0,0,98.49,0,8.86,8.86,116.22,998,"NEW DELHI",Delhi,110077,ER000026,er026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78030379755,Delivered,"ARORA ENTERPRISE",49546,#4479,COD,173025,"Paonta sahib",0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78030380562,Delivered,"ARORA ENTERPRISE",49548,#4478,COD,560005,Bangalore,0.5,62.7,0,0,0,45.16,107.86,0,9.71,9.71,127.28,1298,"NEW DELHI",Delhi,110077,PE000106,pe106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78030382846,Rto,"ARORA ENTERPRISE",49551,#4477,COD,600126,Chennai,0.5,62.7,60.58,0,0,0,123.29,0,11.1,11.1,145.48,1498,"NEW DELHI",Delhi,110077,ER000216,er216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78030383933,Delivered,"ARORA ENTERPRISE",49553,#4476,COD,110043,Delhi,0.5,41.4,0,0,0,45.16,86.56,0,7.79,7.79,102.14,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 500 gms - DKT",153689150000732,Rto,"ARORA ENTERPRISE",47135,#4395,COD,795001,Imphal,0.5,0,69.3,0,0,-41.75,27.54,0,2.48,2.48,32.5,1098,"NEW DELHI",Delhi,110077,ER00243G,er243g,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310334740,Rto,"ARORA ENTERPRISE",48656,#4452,COD,143001,Amritsar,0.5,0,44.1,0,0,-49.41,-5.31,0,-0.48,-0.48,-6.26,2097,"NEW DELHI",Delhi,110077,ER000028,er028,1,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78015174263,Rto,"ARORA ENTERPRISE",46217,#4365,COD,641604,Tirupur,0.5,0,63.36,0,0,-45.16,18.19,0,1.64,1.64,21.47,1098,"NEW DELHI",Delhi,110077,ER00243G,er243g,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032476885,Delivered,"ARORA ENTERPRISE",49774,#4486,COD,452016,Indore,0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,998,"NEW DELHI",Delhi,110077,ER000026,er026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310344853,Delivered,"ARORA ENTERPRISE",49777,#4487,COD,233305,GHAZIPUR,0.5,54.39,0,0,0,38.22,92.61,0,8.33,8.33,109.28,898,"NEW DELHI",Delhi,110077,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",76623703376,Delivered,"ARORA ENTERPRISE",49778,#4488,PREPAID,110034,Delhi,0.5,41.4,0,0,0,0,41.4,0,3.73,3.73,48.85,2877,"NEW DELHI",Delhi,110077,ER000226,er226,1,ER00243G,er243g,1,ER000244,er244,1,ER000224,er224,1,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032482006,Delivered,"ARORA ENTERPRISE",49779,#4489,COD,431605,Nanded,0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,1298,"NEW DELHI",Delhi,110077,ER000028,er028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032500335,Delivered,"ARORA ENTERPRISE",49790,#4490,COD,562107,Bangalore,0.5,66,0,0,0,45.16,111.16,0,10,10,131.17,798,"NEW DELHI",Delhi,110077,ER23906m,er2396mm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310344982,Rto,"ARORA ENTERPRISE",49793,#4491,COD,795002,Imphal,0.5,91.14,91.14,0,0,0,182.29,0,16.41,16.41,215.1,998,"NEW DELHI",Delhi,110077,ER24008m,er2408mm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032504130,Rto,"ARORA ENTERPRISE",49796,#4492,COD,400709,"Navi mumbai",0.5,66,63.36,0,0,0,129.36,0,11.64,11.64,152.64,1098,"NEW DELHI",Delhi,110077,AN000108,an108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",78032507066,Rto,"ARORA ENTERPRISE",49798,#4493,COD,560106,Bangalore,0.5,62.7,60.58,0,0,0,123.29,0,11.1,11.1,145.48,898,"NEW DELHI",Delhi,110077,ER000236,er236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
