"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"DTDC Air 500 gms",I75298356,Cancelled,Demo,26783,1748147017,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,500,"NEW DELHI",Delhi,110096,we,Tshirt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 2 Kg - DKT",153700550100536,Cancelled,Demo,27957,202504210630326-Copy,COD,412207,PUNE,2,0,0,0,0,0,0,0,0,0,0,100,Delhi,"New Delhi",110001,GIFT,GIFT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 500 gms - DKT",153689150003644,Cancelled,Demo,28557,1748147017,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,500,Delhi,"New Delhi",110001,we,Tshirt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Xpressbees 500 gms - DKT",153689150002007,Cancelled,Demo,28559,1748147017,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,500,Delhi,"New Delhi",110001,we,Tshirt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77886538236,Cancelled,Demo,28580,1749900837-Copy,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,500,Delhi,"New Delhi",110001,we,Tshirt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DTDC 500 gms",I75299712,Cancelled,Demo,28584,1749905674,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,244,GURUGRAM,Haryana,120001,sfdg,Tshirt,1212,1,p1,1,sfdg,Tshirt,1,GIFT,Tshirt,1,,,,,,,,,,,,,,,,,,
Forward,"DTDC Air 500 gms",I75299713,Cancelled,Demo,28585,1749905674,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,244,GURUGRAM,Haryana,120001,sfdg,Tshirt,1212,1,p1,1,sfdg,Tshirt,1,GIFT,Tshirt,1,,,,,,,,,,,,,,,,,,
Forward,"Pickndel 500gm(NDD)",PD6294386,Cancelled,Demo,28592,1749905674,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,244,GURGAON,Haryana,110001,sfdg,Tshirt,1212,1,p1,1,sfdg,Tshirt,1,GIFT,Tshirt,1,,,,,,,,,,,,,,,,,,
Forward,"DTDC Air 500 gms",I75299746,Cancelled,Demo,28713,1749905674,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,244,GURGAON,Haryana,110001,sfdg,Tshirt,1212,1,p1,1,sfdg,Tshirt,1,GIFT,Tshirt,1,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77887119575,Cancelled,Demo,28723,1749905674,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,244,GURGAON,Haryana,110001,sfdg,Tshirt,1212,1,p1,1,sfdg,Tshirt,1,GIFT,Tshirt,1,,,,,,,,,,,,,,,,,,
Forward,"Blue Dart 500 gms",77887119601,Cancelled,Demo,28724,1749905674,COD,110001,Delhi,0.5,0,0,0,0,0,0,0,0,0,0,244,GURGAON,Haryana,110001,sfdg,Tshirt,1212,1,p1,1,sfdg,Tshirt,1,GIFT,Tshirt,1,,,,,,,,,,,,,,,,,,
