"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Ekart 500 gms",FSNC0022693817,Cancelled,"GUILTFREE INDUSTRIES LIMITED",104525,#001123,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNC0022694007,Cancelled,"GUILTFREE INDUSTRIES LIMITED",104528,#00112312,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNC0022737825,Cancelled,"GUILTFREE INDUSTRIES LIMITED",104890,#001123,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNC0022738232,Cancelled,"GUILTFREE INDUSTRIES LIMITED",104899,#0011234,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DTDC 500 gms",I84899185,Cancelled,"GUILTFREE INDUSTRIES LIMITED",105301,#0011234,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DTDC 500 gms",I84899260,Cancelled,"GUILTFREE INDUSTRIES LIMITED",105361,#0011234,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNC0022902251,Cancelled,"GUILTFREE INDUSTRIES LIMITED",106614,#1091,COD,400001,Mumbai,0.5,0,0,0,0,0,0,0,0,0,0,1000,Gurugram,Haryana,122001,sku001,"product 1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNP0022903046,Cancelled,"GUILTFREE INDUSTRIES LIMITED",106615,#3987,PREPAID,670004,Kannur,0.5,0,0,0,0,0,0,0,0,0,0,156.94,Gurugram,Gurugram,122001,honey-425,honey-425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNP0022992668,Cancelled,"GUILTFREE INDUSTRIES LIMITED",107436,#3998,PREPAID,670004,Kannur,0.5,0,0,0,0,0,0,0,0,0,0,156.94,Gurugram,Haryana,122001,honey-425,honey-425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNP0022992980,Cancelled,"GUILTFREE INDUSTRIES LIMITED",107437,#3999,PREPAID,670004,Kannur,0.5,0,0,0,0,0,0,0,0,0,0,156.94,Gurugram,Haryana,122001,honey-425,honey-425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNP0023013453,Cancelled,"GUILTFREE INDUSTRIES LIMITED",107650,#2005,PREPAID,560005,Bengaluru,0.5,0,0,0,0,0,0,0,0,0,0,233.64,Gurugram,Haryana,122001,1200000,"Naturali ! FW Daily Purifying 50 ml",1,1200149,"Natr 2.0 Hairfall Arrest SH- 340 ml",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNP0023013714,Cancelled,"GUILTFREE INDUSTRIES LIMITED",107653,#2006,PREPAID,560005,Bengaluru,0.5,0,0,0,0,0,0,0,0,0,0,233.64,Gurugram,Haryana,122001,1200000,"Naturali ! FW Daily Purifying 50 ml",1,1200149,"Natr 2.0 Hairfall Arrest SH- 340 ml",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Ekart 500 gms",FSNC0023014741,Cancelled,"GUILTFREE INDUSTRIES LIMITED",107657,#4002,COD,670004,Kannur,0.5,0,0,0,0,0,0,0,0,0,0,156.94,Gurugram,Haryana,122001,honey-425,honey-425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310722035,Cancelled,"GUILTFREE INDUSTRIES LIMITED",107685,#2011,COD,560005,Bengaluru,0.5,0,0,0,0,0,0,0,0,0,0,116.82,Gurugram,Haryana,122001,1200000,"Naturali ! FW Daily Purifying 50 ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
