"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"DKT-GO NDD 2kg",DKTGO-3663922348,Delivered,Namo,83136,2025121905155111,COD,226003,LUCKNOW,3,74,0,0,0,18,92,16.56,0,0,108.56,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-4170691427,Delivered,Namo,83142,2025121905155111-Copy,COD,226003,LUCKNOW,3,74,0,0,0,18,92,16.56,0,0,108.56,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-7760882350,Delivered,Namo,83143,2025121905155111-Copy-Copy,COD,226003,LUCKNOW,3,74,0,0,0,18,92,16.56,0,0,108.56,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-5484057559,Cancelled,Namo,83154,2025121905155111-Copy-Copy-Copy,COD,226003,LUCKNOW,3,0,0,0,0,0,0,0,0,0,0,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-7779851986,Delivered,Namo,83166,2025121905155111-Copy-Copy-Copy-Copy,COD,226003,LUCKNOW,3,74,0,0,0,18,92,16.56,0,0,108.56,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-8218678541,Delivered,Namo,83173,2025121905155111-Copy-Copy-Copy-Copy-Copy,COD,226003,LUCKNOW,3,74,0,0,0,18,92,16.56,0,0,108.56,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-2669268034,Rto,Namo,83355,2025121905155112-Copy,COD,226003,LUCKNOW,3,74,64,0,0,0,138,24.84,0,0,162.84,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-2828564745,Delivered,Namo,83357,2025121905155112,COD,226003,LUCKNOW,3,74,0,0,0,18,92,16.56,0,0,108.56,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-2986875165,Cancelled,Namo,83403,2025121905155112-Copy-Copy,COD,226003,LUCKNOW,3,0,0,0,0,0,0,0,0,0,0,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO NDD 2kg",DKTGO-4804254450,Cancelled,Namo,84555,2025121905155112-Copy-Copy-Copy,COD,226003,LUCKNOW,3,0,0,0,0,0,0,0,0,0,0,330,LUCKNOW,"Uttar Pradesh",226004,SHU-0002,Shop,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
