AWB Number,Amount
35604310089154,628
35604310089246,969
35604310092691,2225
35604310086844,999
35604310087743,969
35604310081421,904
35604310084081,1090
35604310088060,2799
35604310096320,2891
35604310091066,1923
35604310092013,1239
35604310078772,2425
35604310091151,2949
35604310087721,969
35604310085702,825
35604310090930,983
35604310086660,1299
35604310089014,1623
35604310088992,939
35604310087846,2559
35604310099024,969
35604310087776,2890
35604310083355,969
35604310087684,825
35604310088491,276
35604310091895,1821
35604310091770,4559
35604310085831,1217
35604310098895,1893
35604310089515,1059
35604310098394,1805
35604310098906,1893
35604310091921,969
35604310090871,939
35604310094953,1071
35604310094813,1805
35604310098954,969
35604310091092,939
35604310092735,1805
35604310093973,812
35604310091103,1059
35604310091044,1805
35604310090775,969
35604310088981,939
35604310096283,1868
35604310092072,508
35604310089250,969
35604310094452,881
35604310094242,1104
35604310089471,1836
35604310094301,946
35604310089025,879
35604310081292,3449
35604310092621,937
35604310098770,1559
35604310091464,706
35604310086800,1929
35604310091954,1175
35604310092606,1272
35604310086192,825
35604310088115,939
35604310090790,969
35604310089202,1237
35604310095900,780
35604310092901,2869
35604310097742,814
35604310092956,969
35604310091943,4390
35604310091652,4115
35604310091416,3005
35604310090440,628
35604310086262,1217
