"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"Delhivery Air 500 gms - DKT",35604310340211,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49262,739329,PREPAID,482002,"MADHYA PRADESH",0.5,69,0,0,0,0,69,12.42,0,0,81.42,1186,"NEW DELHI",Delhi,110096,8809115025050,"Klairs Freshly Juiced Vitamin Drop 35ml",1,FrudiaSunscreenSPF50,"Frudia Green Grape Sebum Control Cooling Sun Gel - 50g",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340222,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49263,739331,PREPAID,560045,KARNATAKA,1,115,0,0,0,0,115,20.7,0,0,135.7,3108,"NEW DELHI",Delhi,110096,BOJ_RiceProbioticsSPF50,"Relief Sun  Rice + Probiotics (SPF50+ PA++++) - 10ml",1,8809738316146,"Beauty of Joseon Revive Eye Serum Ginseng + Retinal 30ml",1,8809032675949,"SHINE MUSCAT CICA DAILY MASK (270 gm)",1,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340233,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49264,739332,COD,796012,MIZORAM,0.5,102,0,0,0,40.31,142.31,25.61,0,0,167.92,1910,"NEW DELHI",Delhi,110096,AXY009,"Cera-Heart My Type Duo Cream (60ml)",1,8809115027924,"Daily Purifying Toner 200ml",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340244,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49265,739341,PREPAID,796007,MIZORAM,0.5,102,0,0,0,0,102,18.36,0,0,120.36,651,"NEW DELHI",Delhi,110096,8809738608364,"1025 DOKDO CLEANSER 150ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340255,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49266,739342,PREPAID,796007,MIZORAM,0.5,102,0,0,0,0,102,18.36,0,0,120.36,4413,"NEW DELHI",Delhi,110096,NUM-BLEMDEF-SPFDUO,"The Blemish-Control & Soothing Duo",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340266,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",49267,739349,COD,670731,KERALA,0.5,69,69,0,0,0,138,24.84,0,0,162.84,2082,"NEW DELHI",Delhi,110096,8809541190254,"Isntree Green Tea Fresh Emulsion",1,8809783322642,"Isntree Onion Newpair Essence Toner",1,8806135244911,"Isntree TW Real Eye Cream",1,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340270,Rto,"ROADSKYE TRADECOM PRIVATE LIMITED",49268,739356,COD,226017,"UTTAR PRADESH",0.5,69,69,0,0,0,138,24.84,0,0,162.84,1162,"NEW DELHI",Delhi,110096,8809652580210,"Numbuzin No.6 Deep Sleep Mask Serum (Pack Size50ml)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340281,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49269,739365,PREPAID,530041,"ANDHRA PRADESH",0.5,69,0,0,0,0,69,12.42,0,0,81.42,901,"NEW DELHI",Delhi,110096,8809875901120,"1025 DOKDO CLEANSING GEL 150ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340292,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49270,739371,PREPAID,796012,MIZORAM,0.5,102,0,0,0,0,102,18.36,0,0,120.36,1427,"NEW DELHI",Delhi,110096,8809657115387,"1025 DOKDO TONER 100ml",1,CR011,"Balancium Comfort Ceramide Cream - 80gm",1,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340303,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49271,739377,COD,515411,"ANDHRA PRADESH",0.5,69,0,0,0,30.88,99.88,17.98,0,0,117.86,795,"NEW DELHI",Delhi,110096,CR008,"Advanced Snail 96 Mucin Power Essence - 100ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340314,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49272,739386,PREPAID,382330,GUJARAT,0.5,69,0,0,0,0,69,12.42,0,0,81.42,1218,"NEW DELHI",Delhi,110096,AXS04-SD1,"Dark Spot Correcting Glow Serum - 50ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310340325,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49273,739387,PREPAID,110013,DELHI,0.5,24.84,0,0,0,0,24.84,4.47,0,0,29.31,1026,"NEW DELHI",Delhi,110096,8809670681517,"Collagen Peptide Vital Mask 30 EA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340336,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49274,739394,PREPAID,400612,MAHARASHTRA,0.5,69,0,0,0,0,69,12.42,0,0,81.42,379,"NEW DELHI",Delhi,110096,CR008M,"Advanced Snail 96 Mucin Power Essence - 30ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340340,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49275,739399,PREPAID,180010,"JAMMU and KASHMIR",0.5,102,0,0,0,0,102,18.36,0,0,120.36,726,"NEW DELHI",Delhi,110096,CR008,"Advanced Snail 96 Mucin Power Essence - 100ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery Air 500 gms - DKT",35604310340351,Delivered,"ROADSKYE TRADECOM PRIVATE LIMITED",49276,739400,PREPAID,734301,"WEST BENGAL",0.5,69,0,0,0,0,69,12.42,0,0,81.42,726,"NEW DELHI",Delhi,110096,CR008,"Advanced Snail 96 Mucin Power Essence - 100ml",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
