"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,"Charged Weight","Foward Freight","RTO Freight","Extra Wgt Charges","RTO Extra Wgt Charges","COD Charges","Sub Total",IGST,SGST,CGST,"Grand Total","Order Amount","Warehouse City","Warehouse State","Warehouse Pin Code",SKU(1),Product(1),Quantity(1),SKU(2),Product(2),Quantity(2),SKU(3),Product(3),Quantity(3),SKU(4),Product(4),Quantity(4),SKU(5),Product(5),Quantity(5),SKU(6),Product(6),Quantity(6),SKU(7),Product(7),Quantity(7),SKU(8),Product(8),Quantity(8),SKU(9),Product(9),Quantity(9),SKU(10),Product(10),Quantity(10)
Forward,"DKT-GO SDD 500gms",DKT-20250703T122821,Cancelled,Namo,32375,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T132226,Cancelled,Namo,32405,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T132717,Cancelled,Namo,32407,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T133236,Cancelled,Namo,32409,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T133920,Cancelled,Namo,32412,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T134300,Cancelled,Namo,32413,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T134819,Cancelled,Namo,32415,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKT-20250703T170459,Cancelled,Namo,32473,202507031106137,COD,560043,BANGALORE,0.5,59.32,0,0,0,25.42,84.75,15.25,0,0,100,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKTGO-0448802263,Cancelled,Namo,32587,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKTGO-7414406527,Cancelled,Namo,32590,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 500 gms - DKT",35604310194585,Cancelled,Namo,30641,SO00001-SO00001-CUSTOM,COD,201310,Noida,0.5,-49,0,0,0,-32.5,-81.5,-14.67,0,0,-96.17,200.000,Maharashtra,Maharashtra,400093,easybuild1,easybuild1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DTDC Air 500 gms",I76879066,Cancelled,Namo,32862,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"Delhivery 10 Kg - DKT",35649410000556,Cancelled,Namo,33036,123987653-4554321-23123,PREPAID,201310,"Greater Noida",10,0,0,0,0,0,0,0,0,0,0,1100,"Greater Noida","Uttar Pradesh",201310,SKU001,"Product A",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKTGO-4023770610,Exception,Namo,33379,202507031106137,COD,560043,BANGALORE,0.5,42.37,0,0,0,21.19,63.56,11.44,0,0,75,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forward,"DKT-GO SDD 500gms",DKTGO-3449041367,Cancelled,Namo,33395,202507031106137,COD,560043,BANGALORE,0.5,0,0,0,0,0,0,0,0,0,0,250,BANGALORE,BANGALORE,560043,SKU001,Book,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
